Eff Date,Course ID,Offer Nbr,Primary Component,Enrol Component,Final Exam,Sect Size,Contact,S+Templates Reqd,Component
01/01/2017,2419,1,LEC,TUT,Y,24,1,3,LEC
01/01/2017,2427,1,PJT,,Y,10,0,1,PJT
01/01/2017,2493,1,THE,,N,5,3,1,THE
01/01/2017,2520,1,WRK,,N,25,3,2,SEM
01/01/2017,2520,1,WRK,,Y,25,1,1,WRK
01/01/2017,2580,1,LEC,,N,48,4,1,PRA
01/01/2017,2580,1,LEC,,Y,48,2,1,LEC
01/01/2017,2580,3,LEC,,N,48,4,1,PRA
01/01/2017,2580,3,LEC,,Y,48,2,1,LEC
01/01/2017,2589,1,LEC,,Y,35,2,2,LEC
01/01/2017,2589,2,LEC,,Y,35,2,2,LEC
01/01/2017,2599,1,LEC,,N,25,1,1,TUT
01/01/2017,2599,1,LEC,,N,50,5,3,PRA
01/01/2017,2599,1,LEC,,Y,70,1,3,LEC
01/01/2017,2618,1,LEC,LEC,N,30,2,1,LEC
01/01/2017,2618,1,LEC,LEC,N,30,4,1,PRA
01/01/2017,2651,1,LEC,,N,1,2,1,LEC
01/01/2017,2684,1,LEC,,Y,5,1,3,LEC
01/01/2017,2695,1,LEC,,Y,10,0,1,LEC
01/01/2017,2747,1,LEC,TUT,N,22,1,2,TUT
01/01/2017,2747,1,LEC,TUT,Y,22,1,3,LEC
01/01/2017,2775,1,LEC,,N,55,2,1,LEC
01/01/2017,2854,1,PJT,,N,5,0,1,PJT
01/01/2017,2909,1,SEM,,N,35,2,1,TUT
01/01/2017,2909,1,SEM,,Y,55,2,1,LEC
01/01/2017,2909,1,SEM,,Y,100,2,1,SEM
01/01/2017,2934,1,LEC,,N,45,1,1,TUT
01/01/2017,2934,1,LEC,,Y,50,1,2,LEC
01/01/2017,2952,1,THE,,N,10,0,1,THE
01/01/2017,3004,1,PJT,,N,5,0,1,PJT
01/01/2017,3004,2,PJT,,N,5,0,1,PJT
01/01/2017,3019,1,LEC,,Y,20,1,1,LEC
01/01/2017,3127,1,LEC,,N,17,3,1,LAB
01/01/2017,3127,1,LEC,,N,200,1.5,1,WRK
01/01/2017,3127,1,LEC,,Y,200,1,3,LEC
01/01/2017,3152,1,THE,,Y,40,1,1,THE
01/01/2017,3181,1,LEC,LEC,Y,20,2,1,LEC
01/01/2017,3192,1,UNS,UNS,Y,180,0,1,UNS
01/01/2017,3223,1,PFM,PFM,Y,20,4,1,PFM
01/01/2017,3240,1,CLN,CLN,Y,35,0,1,CLN
01/01/2017,3241,1,LEC,CBL,N,9,2,3,CBL
01/01/2017,3241,1,LEC,CBL,N,10,1,2,TUT
01/01/2017,3241,1,LEC,CBL,N,20,1.5,2,RES
01/01/2017,3241,1,LEC,CBL,N,170,1,10,LEC
01/01/2017,3246,1,LEC,,Y,25,1,3,LEC
01/01/2017,3249,1,CLN,CLN,N,20,1,20,TUT
01/01/2017,3249,1,CLN,CLN,N,20,8,10,PRA
01/01/2017,3249,1,CLN,CLN,N,60,2,10,LEC
01/01/2017,3249,1,CLN,CLN,N,60,8,10,WRK
01/01/2017,3249,1,CLN,CLN,Y,20,2,2,CLN
01/01/2017,3253,1,LEC,LEC,N,8,1.5,1,TUT
01/01/2017,3253,1,LEC,LEC,N,170,1,3,LEC
01/01/2017,3280,1,LEC,,Y,55,2,1,LEC
01/01/2017,3283,1,LEC,LEC,N,125,1,1,TUT
01/01/2017,3283,1,LEC,LEC,N,125,3,3,PRA
01/01/2017,3283,1,LEC,LEC,Y,125,2,1,LEC
01/01/2017,3288,1,LEC,,N,110,1,1,PRA
01/01/2017,3288,1,LEC,,N,110,1,1,TUT
01/01/2017,3288,1,LEC,,Y,110,2,1,LEC
01/01/2017,3288,2,LEC,,N,110,1,1,PRA
01/01/2017,3288,2,LEC,,N,110,1,1,TUT
01/01/2017,3288,2,LEC,,Y,110,2,1,LEC
01/01/2017,3334,1,LEC,LEC,N,20,2,1,TUT
01/01/2017,3334,1,LEC,LEC,Y,20,2,1,LEC
01/01/2017,3348,1,LEC,,Y,10,0,1,LEC
01/01/2017,3401,1,LEC,,Y,60,1,3,LEC
01/01/2017,3455,1,LEC,LEC,N,20,2,1,TUT
01/01/2017,3455,1,LEC,LEC,Y,20,1,2,LEC
01/01/2017,3498,1,DST,,N,10,0,1,DST
01/01/2017,3522,1,PJT,,Y,5,0,1,PJT
01/01/2017,3522,2,PJT,,Y,5,0,1,PJT
01/01/2017,3552,1,LEC,,Y,10,1,1,LEC
01/01/2017,3564,1,LEC,LEC,Y,24,3,1,LEC
01/01/2017,3564,2,LEC,,Y,24,3,1,LEC
01/01/2017,3565,1,LEC,TUT,N,24,1,2,TUT
01/01/2017,3565,1,LEC,TUT,Y,144,1,4,LEC
01/01/2017,3565,2,LEC,,N,24,1,2,TUT
01/01/2017,3565,2,LEC,,Y,144,1,4,LEC
01/01/2017,3593,1,THE,,N,20,0,1,THE
01/01/2017,3643,1,LEC,,N,25,3,1,SGD
01/01/2017,3643,1,LEC,,N,30,3,1,PRA
01/01/2017,3643,1,LEC,,N,40,1,1,WRK
01/01/2017,3643,1,LEC,,Y,175,1,3,LEC
01/01/2017,3643,3,LEC,,N,25,3,1,SGD
01/01/2017,3643,3,LEC,,N,30,3,1,PRA
01/01/2017,3643,3,LEC,,N,40,1,1,WRK
01/01/2017,3643,3,LEC,,Y,175,1,3,LEC
01/01/2017,3643,4,LEC,,N,25,3,1,SGD
01/01/2017,3643,4,LEC,,N,30,3,1,PRA
01/01/2017,3643,4,LEC,,N,40,1,1,WRK
01/01/2017,3643,4,LEC,,Y,175,1,3,LEC
01/01/2017,3647,1,SEM,,N,35,0,1,SEM
01/01/2017,3660,1,LEC,LEC,Y,12,2,3,LEC
01/01/2017,3675,1,LEC,LEC,N,20,1,1,PJT
01/01/2017,3675,1,LEC,LEC,Y,45,1,3,LEC
01/01/2017,3675,2,LEC,LEC,N,20,1,1,PJT
01/01/2017,3675,2,LEC,LEC,Y,45,1,3,LEC
01/01/2017,3681,1,LEC,,Y,10,0,1,LEC
01/01/2017,3718,1,LEC,,N,80,1,1,PRA
01/01/2017,3718,1,LEC,,Y,220,2,2,LEC
01/01/2017,3762,1,CLN,CLN,N,10,2,2,PRA
01/01/2017,3762,1,CLN,CLN,N,20,2,2,CLN
01/01/2017,3808,1,LEC,,N,20,1,1,TUT
01/01/2017,3808,1,LEC,,Y,380,1,2,LEC
01/01/2017,3823,1,WRK,,Y,250,3,1,WRK
01/01/2017,3826,1,LEC,WRK,N,26,1.5,3,WRK
01/01/2017,3826,1,LEC,WRK,Y,500,1,3,LEC
01/01/2017,3826,2,LEC,,N,26,1.5,3,WRK
01/01/2017,3826,2,LEC,,Y,500,1,3,LEC
01/01/2017,3826,3,LEC,WRK,N,26,1.5,3,WRK
01/01/2017,3826,3,LEC,WRK,Y,500,1,3,LEC
01/01/2017,3891,1,LEC,LEC,Y,35,3,5,LEC
01/01/2017,3902,1,SEM,,N,35,2,1,TUT
01/01/2017,3902,1,SEM,,Y,100,2,1,SEM
01/01/2017,3907,1,LEC,,Y,10,0,1,LEC
01/01/2017,3916,1,LEC,,Y,20,1,1,LEC
01/01/2017,3916,1,LEC,,Y,20,1,1,TUT
01/01/2017,3927,1,LEC,,Y,10,0,1,LEC
01/01/2017,3935,1,LEC,,Y,10,1,1,LEC
01/01/2017,3935,1,LEC,,Y,10,2,1,SEM
01/01/2017,3966,1,SEM,,N,35,0,1,SEM
01/01/2017,3987,1,LEC,,Y,20,1,3,LEC
01/01/2017,3988,1,LEC,LEC,N,30,2,2,TUT
01/01/2017,3988,1,LEC,LEC,Y,60,1,1,LEC
01/01/2017,3989,1,LEC,,N,25,1,1,PRA
01/01/2017,3989,1,LEC,,N,25,1,1,TUT
01/01/2017,3989,1,LEC,,Y,25,1,2,LEC
01/01/2017,4013,1,LEC,,Y,5,1,3,LEC
01/01/2017,4025,1,LEC,,Y,35,6.5,1,LEC
01/01/2017,4025,2,LEC,,Y,35,6.5,1,LEC
01/01/2017,4049,1,LEC,,Y,10,1,1,LEC
01/01/2017,4049,2,LEC,,Y,10,1,1,LEC
01/01/2017,4049,3,LEC,,Y,10,1,1,LEC
01/01/2017,4055,1,CLN,,L,5,0,1,CLN
01/01/2017,4078,1,LEC,,N,35,4,1,PRA
01/01/2017,4078,1,LEC,,N,35,8,1,FLD
01/01/2017,4078,1,LEC,,Y,35,1,2,LEC
01/01/2017,4094,1,LEC,,Y,20,1,3,LEC
01/01/2017,4108,1,SEM,SEM,Y,20,2,5,SEM
01/01/2017,4145,1,LEC,,N,40,3,1,COM
01/01/2017,4145,1,LEC,,N,120,1,1,WRK
01/01/2017,4145,1,LEC,,N,250,3,1,PRA
01/01/2017,4145,1,LEC,,N,250,4,1,FLD
01/01/2017,4145,1,LEC,,Y,250,1,3,LEC
01/01/2017,4234,1,LEC,LEC,N,40,1,2,TUT
01/01/2017,4234,1,LEC,LEC,N,40,2,2,LEC
01/01/2017,4234,1,LEC,LEC,N,40,4,2,PRA
01/01/2017,4234,1,LEC,LEC,N,40,8,1,FLD
01/01/2017,4236,1,LEC,,N,15,1,2,TUT
01/01/2017,4236,1,LEC,,N,30,2,2,COM
01/01/2017,4236,1,LEC,,N,60,5,3,PRA
01/01/2017,4236,1,LEC,,Y,60,1,3,LEC
01/01/2017,4242,1,TUT,,N,15,1,1,WRK
01/01/2017,4242,1,TUT,,N,30,1,1,LAB
01/01/2017,4242,1,TUT,,Y,15,1,1,TUT
01/01/2017,4242,1,TUT,,Y,30,1,2,LEC
01/01/2017,4267,1,LEC,LEC,N,50,1,1,TUT
01/01/2017,4267,1,LEC,LEC,Y,250,2,1,LEC
01/01/2017,4286,1,LEC,,N,30,2,1,PRA
01/01/2017,4286,1,LEC,,Y,30,1,1,LEC
01/01/2017,4309,1,LEC,TUT,N,25,1,1,TUT
01/01/2017,4309,1,LEC,TUT,Y,490,1,2,LEC
01/01/2017,4309,3,LEC,,N,25,1,1,TUT
01/01/2017,4309,3,LEC,,Y,490,1,2,LEC
01/01/2017,4309,4,LEC,,N,25,1,1,TUT
01/01/2017,4309,4,LEC,,Y,490,1,2,LEC
01/01/2017,4344,1,LEC,,Y,25,1,1,LEC
01/01/2017,4413,1,LEC,,N,25,1,1,WRK
01/01/2017,4413,1,LEC,,Y,50,1,4,LEC
01/01/2017,4435,1,LEC,,L,150,1,2,LEC
01/01/2017,4435,1,LEC,,N,25,1,1,TUT
01/01/2017,4439,1,LEC,,N,25,2,1,SEM
01/01/2017,4439,1,LEC,,N,80,1,1,LEC
01/01/2017,4447,2,LEC,,Y,40,1,3,LEC
01/01/2017,4449,1,PJT,,N,20,0,1,PJT
01/01/2017,4468,1,LEC,,N,25,1,1,TUT
01/01/2017,4468,1,LEC,,Y,130,2,1,LEC
01/01/2017,4468,2,LEC,,N,25,1,1,TUT
01/01/2017,4468,2,LEC,,Y,130,2,1,LEC
01/01/2017,4476,1,LEC,,Y,10,0,1,LEC
01/01/2017,4514,1,CLN,,N,10,0,1,CLN
01/01/2017,4578,1,LEC,,Y,10,0,1,LEC
01/01/2017,4587,1,LEC,TUT,N,22,1,1,TUT
01/01/2017,4587,1,LEC,TUT,Y,22,2,1,LEC
01/01/2017,4631,1,LEC,,N,20,2,1,LEC
01/01/2017,4631,1,LEC,,N,20,3,1,PRA
01/01/2017,4684,1,PAP,,N,15,0,1,PAP
01/01/2017,4693,1,LEC,,Y,10,0,1,LEC
01/01/2017,4705,2,LEC,,Y,10,3,5,LEC
01/01/2017,4705,3,LEC,LEC,Y,10,3,5,LEC
01/01/2017,4724,1,LEC,LEC,Y,12,2,3,LEC
01/01/2017,4774,1,PRA,,N,20,5,1,PRA
01/01/2017,4774,1,PRA,,Y,60,2,1,LEC
01/01/2017,4785,1,LEC,,N,40,1,1,TUT
01/01/2017,4785,1,LEC,,N,40,4,1,PRA
01/01/2017,4785,1,LEC,,Y,40,2,1,LEC
01/01/2017,4806,1,LEC,TUT,N,30,1,1,TUT
01/01/2017,4806,1,LEC,TUT,Y,30,1,3,LEC
01/01/2017,4806,2,LEC,,N,30,1,1,TUT
01/01/2017,4806,2,LEC,,Y,30,1,3,LEC
01/01/2017,4853,1,LEC,,N,25,1,1,PRA
01/01/2017,4853,1,LEC,,N,25,1,1,TUT
01/01/2017,4853,1,LEC,,Y,25,1,2,LEC
01/01/2017,4880,1,LEC,,N,20,4,1,PRA
01/01/2017,4880,1,LEC,,Y,20,1,2,LEC
01/01/2017,4880,2,LEC,,N,20,4,1,PRA
01/01/2017,4880,2,LEC,,Y,20,1,2,LEC
01/01/2017,4945,1,LEC,,Y,10,1,1,LEC
01/01/2017,4949,1,LEC,LEC,N,40,4,1,PRA
01/01/2017,4949,1,LEC,LEC,Y,40,1,2,LEC
01/01/2017,4967,1,LEC,,N,180,1,1,TUT
01/01/2017,4967,1,LEC,,N,180,2,1,LAB
01/01/2017,4967,1,LEC,,Y,180,2,2,LEC
01/01/2017,4971,1,IND,IND,Y,50,0,1,IND
01/01/2017,4979,1,PRA,,Y,20,1,1,PRA
01/01/2017,5011,1,LEC,,Y,20,1,3,LEC
01/01/2017,5049,1,DST,DST,N,5,2,1,DST
01/01/2017,5058,1,LEC,,Y,100,6,3,LEC
01/01/2017,5090,1,LEC,,Y,35,3,2,LEC
01/01/2017,5104,1,LEC,WRK,Y,400,1,2,WRK
01/01/2017,5104,1,LEC,WRK,Y,400,1,3,LEC
01/01/2017,5139,1,LEC,LEC,N,10,1,3,SEM
01/01/2017,5139,1,LEC,LEC,N,50,2,2,LEC
01/01/2017,5141,1,LEC,LEC,N,30,1,1,WRK
01/01/2017,5141,1,LEC,LEC,Y,120,2,1,LEC
01/01/2017,5141,2,LEC,LEC,N,30,1,1,WRK
01/01/2017,5141,2,LEC,LEC,Y,120,2,1,LEC
01/01/2017,5156,1,LEC,,Y,10,0,1,LEC
01/01/2017,5174,1,THE,,N,40,1,1,THE
01/01/2017,5215,1,PJT,,N,5,0,1,PJT
01/01/2017,5215,2,PJT,,N,5,0,1,PJT
01/01/2017,5224,1,LEC,,N,33,4,1,PRA
01/01/2017,5224,1,LEC,,N,66,1,1,TUT
01/01/2017,5224,1,LEC,,N,66,1,2,LEC
01/01/2017,5230,1,LEC,,Y,25,1,3,LEC
01/01/2017,5234,1,SEM,,Y,20,1,1,SEM
01/01/2017,5295,1,PJT,,N,10,0,1,PJT
01/01/2017,5305,1,SEM,,N,20,2,2,SEM
01/01/2017,5340,1,TTN,TTN,N,10,1,1,TTN
01/01/2017,5344,1,LEC,,Y,5,1,3,LEC
01/01/2017,5385,1,PFM,,Y,20,2,4,PFM
01/01/2017,5543,1,LEC,TUT,N,50,1,1,LAB
01/01/2017,5543,1,LEC,TUT,N,80,1,1,TUT
01/01/2017,5543,1,LEC,TUT,Y,160,1,3,LEC
